strain_name,strain_number,experiment_id,spectrum,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700
C. muelleri,CCMP1316,0520_CMUL,MILQ,0.00284041,0.00287394,0.00288281,0.00270684,0.0026913,0.00252501,0.00239909,0.0023748,0.00214529,0.00196905,0.00195575,0.00174492,0.0018009,0.0017449,0.00170378,0.00164849,0.00149982,0.00149533,0.00140346,0.00143305,0.001399,0.00134785,0.00129539,0.00127662,0.00121582,0.00119069,0.00115446,0.00113146,0.00109877,0.00106825,0.00104882,0.00105112,0.000961275,0.000897499,0.000882103,0.000803196,0.000804362,0.000790372,0.000743193,0.000750521,0.000703117,0.000681479,0.000670816,0.000660416,0.00062681,0.00062779,0.000621076,0.000581242,0.000570207,0.000596625,0.000546427,0.000546519,0.0004682,0.000469559,0.00042171
,,,MILQ(FILT),0.00045035,0.000574636,0.000654993,0.000649803,0.000674324,0.000713829,0.000278145,0.000250637,0.000498408,5.57432e-05,-1.9339e-05,0.000103975,9.92065e-05,0.000197996,0.000220186,0.000228793,0.000188997,0.000190306,0.000183909,0.000185597,0.000187926,0.000255396,0.000220983,0.000189426,0.000226039,0.000243445,0.000221894,0.000228751,0.000248954,0.000241955,0.000277186,0.000258293,0.000254786,0.000223644,0.000200039,0.000206818,0.000195988,0.000181313,0.000178552,0.000209261,0.000213769,0.000197442,0.000178492,0.000189381,0.000234433,0.000238082,0.000208301,0.000223472,0.000214735,0.000199605,0.000214628,0.00017686,0.000181678,0.000114991,0.000162713
,,,DIL1A,0.00585672,0.00597448,0.00606281,0.0059835,0.00603929,0.00583327,0.00555378,0.00547948,0.0054533,0.00515328,0.00523766,0.00474407,0.00475405,0.00472198,0.00463388,0.00448675,0.00449552,0.00435251,0.00437911,0.00423734,0.00431991,0.0040402,0.00395085,0.00386317,0.00384477,0.00383969,0.00369805,0.00356883,0.00349565,0.00339463,0.00339515,0.00333779,0.00323672,0.00313673,0.00297503,0.00283073,0.00271824,0.00265893,0.00264108,0.0025823,0.00251824,0.0024164,0.00242831,0.00230315,0.00218954,0.00216557,0.00218788,0.00218097,0.00230949,0.00261757,0.00268668,0.00252177,0.00237211,0.00223649,0.00225347
,,,DIL1A(BGRD),0.00385542,0.00388138,0.00393034,0.00365968,0.00360077,0.00337689,0.0032203,0.00309417,0.00288401,0.00269759,0.00261808,0.00240732,0.00235405,0.00232702,0.00229473,0.00215943,0.00212092,0.00205298,0.00197508,0.00194733,0.0019725,0.00185122,0.00174749,0.00173735,0.00169225,0.0016681,0.00159702,0.0015286,0.00149845,0.00146805,0.00146073,0.0014289,0.00135444,0.00127675,0.00124946,0.00116286,0.00110104,0.00108886,0.00108408,0.00108416,0.00101814,0.000998005,0.000964618,0.00094033,0.00090637,0.000895329,0.000890545,0.000875429,0.000803963,0.000867273,0.000856003,0.0007817,0.00068223,0.00069857,0.000722533
,,,DIL1B,0.00615392,0.00628034,0.00639783,0.00621374,0.0063469,0.00609083,0.00583778,0.00588691,0.00577857,0.00556122,0.00536375,0.00496392,0.00480498,0.0048543,0.00489512,0.00470893,0.00470162,0.00464273,0.00451752,0.00450824,0.00449875,0.00427942,0.00426628,0.00416501,0.00413516,0.00411896,0.00397026,0.00383377,0.00380419,0.00371122,0.00366576,0.00360761,0.00339432,0.00325427,0.00325754,0.00309263,0.00300179,0.00291205,0.00289635,0.00280927,0.00274496,0.00267526,0.00260323,0.00262751,0.0024722,0.00246647,0.00242173,0.00237464,0.00260062,0.00293927,0.00303629,0.00296725,0.00267743,0.00268547,0.00252167
,,,DIL1B(BGRD),0.0035931,0.003695,0.00372221,0.00346176,0.00340013,0.00323235,0.00301073,0.00292904,0.00273407,0.00253453,0.00236554,0.00223538,0.00220207,0.0021592,0.00211716,0.00200822,0.00192925,0.00190755,0.00180412,0.00179323,0.00177555,0.00166212,0.00157061,0.00157793,0.00151775,0.00146633,0.00141605,0.00138167,0.00133503,0.00129096,0.0012612,0.00127768,0.00117075,0.00112795,0.00110169,0.000985453,0.000982619,0.000944744,0.000934967,0.000940034,0.000869695,0.000846466,0.000829664,0.000797763,0.000787792,0.000780197,0.000740239,0.000729177,0.000678202,0.000697356,0.000703364,0.000631045,0.000534316,0.000568725,0.000577214
T. oceanica,CCMP1005,0521_TOCN,MILQ,0.00342128,0.00357185,0.00363919,0.0033831,0.00336455,0.00318638,0.00311562,0.00302386,0.00288278,0.0026535,0.00245426,0.00237506,0.00241531,0.00235807,0.00233895,0.00222978,0.00214726,0.00216997,0.00204222,0.00211674,0.00205998,0.00200771,0.00193049,0.00191742,0.00187592,0.00184156,0.00178196,0.00177725,0.00166482,0.00169175,0.00166805,0.00166265,0.00159412,0.00151349,0.00154432,0.00141357,0.00141202,0.00138511,0.00139916,0.00139015,0.00129333,0.00124937,0.00128026,0.00125054,0.00123098,0.00125205,0.00122786,0.00121113,0.00116004,0.00117915,0.00119264,0.00114517,0.00103261,0.0011131,0.0010586
,,,MILQ(FILT),0.00284419,0.00283286,0.00292522,0.00268267,0.0026395,0.00252375,0.00240482,0.00240464,0.00208975,0.00190414,0.00184814,0.0017793,0.00176356,0.00168329,0.00163637,0.00160698,0.00148317,0.0015262,0.00138489,0.00139263,0.00136218,0.0013173,0.00127821,0.00125836,0.00118716,0.00116525,0.00111644,0.00111539,0.00106686,0.00104642,0.0010462,0.00102162,0.000958756,0.000907366,0.000888281,0.000802418,0.000786111,0.000777777,0.000748698,0.000760701,0.000699309,0.000682144,0.000689384,0.000655941,0.000609866,0.000610428,0.000597192,0.000554912,0.000580196,0.000573503,0.000541671,0.000539786,0.000470282,0.000480766,0.000444976
,,,DIL1A,0.00679562,0.00695969,0.00703506,0.00679931,0.00695374,0.00672572,0.0065226,0.00630923,0.00632327,0.00604542,0.00590077,0.00557948,0.00534657,0.00527259,0.00522331,0.00503676,0.00495116,0.00488153,0.00474468,0.0047119,0.00468526,0.00450524,0.0045122,0.00433283,0.0043812,0.00432176,0.00422168,0.00411292,0.00408079,0.00397551,0.00393715,0.00388705,0.0037396,0.00361124,0.00365058,0.00340736,0.00334514,0.00321547,0.00323611,0.00317813,0.00305423,0.00300952,0.0029433,0.00291336,0.00272524,0.00274598,0.00269772,0.00255554,0.00269982,0.00294909,0.00303222,0.00303379,0.00279693,0.00283355,0.0026653
